trial_lie_042.txt.ptree,0,5,0..4,They
trial_lie_042.txt.ptree,0,8,5..10,found
trial_lie_042.txt.ptree,0,11,11..14,the
trial_lie_042.txt.ptree,0,13,15..18,man
trial_lie_042.txt.ptree,0,15,19..21,uh
trial_lie_042.txt.ptree,0,18,22..24,in
trial_lie_042.txt.ptree,0,21,25..28,the
trial_lie_042.txt.ptree,0,23,29..35,secure
trial_lie_042.txt.ptree,0,25,36..40,area
trial_lie_042.txt.ptree,0,28,41..45,with
trial_lie_042.txt.ptree,0,32,46..49,his
trial_lie_042.txt.ptree,0,34,50..57,luggage
trial_lie_042.txt.ptree,0,36,58..62,cart
trial_lie_042.txt.ptree,0,38,63..66,and
trial_lie_042.txt.ptree,0,42,67..73,chairs
trial_lie_042.txt.ptree,0,45,74..77,set
trial_lie_042.txt.ptree,0,48,78..84,around
trial_lie_042.txt.ptree,0,51,85..88,him
trial_lie_042.txt.ptree,0,53,88..89,.
trial_lie_042.txt.ptree,1,6,90..92,Uh
trial_lie_042.txt.ptree,1,11,93..97,they
trial_lie_042.txt.ptree,1,14,98..103,tried
trial_lie_042.txt.ptree,1,18,104..106,to
trial_lie_042.txt.ptree,1,21,107..109,do
trial_lie_042.txt.ptree,1,24,110..113,the
trial_lie_042.txt.ptree,1,26,114..118,same
trial_lie_042.txt.ptree,1,28,119..124,thing
trial_lie_042.txt.ptree,1,30,124..125,COMMA
trial_lie_042.txt.ptree,1,33,126..137,communicate
trial_lie_042.txt.ptree,1,36,138..142,with
trial_lie_042.txt.ptree,1,39,143..146,him
trial_lie_042.txt.ptree,1,41,146..147,.
trial_lie_042.txt.ptree,2,6,148..154,Chairs
trial_lie_042.txt.ptree,2,9,155..159,went
trial_lie_042.txt.ptree,2,13,160..166,flying
trial_lie_042.txt.ptree,2,15,166..167,COMMA
trial_lie_042.txt.ptree,2,18,168..170,he
trial_lie_042.txt.ptree,2,22,171..178,grabbed
trial_lie_042.txt.ptree,2,25,179..180,a
trial_lie_042.txt.ptree,2,27,181..189,computer
trial_lie_042.txt.ptree,2,30,190..193,off
trial_lie_042.txt.ptree,2,33,194..195,a
trial_lie_042.txt.ptree,2,35,196..200,desk
trial_lie_042.txt.ptree,2,37,201..204,and
trial_lie_042.txt.ptree,2,40,205..210,threw
trial_lie_042.txt.ptree,2,43,211..215,that
trial_lie_042.txt.ptree,2,45,215..216,.
trial_lie_042.txt.ptree,3,5,217..219,Um
trial_lie_042.txt.ptree,3,10,220..224,they
trial_lie_042.txt.ptree,3,13,225..229,just
trial_lie_042.txt.ptree,3,16,230..234,were
trial_lie_042.txt.ptree,3,18,234..237,n't
trial_lie_042.txt.ptree,3,21,238..245,getting
trial_lie_042.txt.ptree,3,24,246..253,through
trial_lie_042.txt.ptree,3,27,254..256,to
trial_lie_042.txt.ptree,3,31,257..261,this
trial_lie_042.txt.ptree,3,33,262..265,guy
trial_lie_042.txt.ptree,3,35,266..269,and
trial_lie_042.txt.ptree,3,38,270..273,the
trial_lie_042.txt.ptree,3,40,274..282,violence
trial_lie_042.txt.ptree,3,42,282..283,COMMA
trial_lie_042.txt.ptree,3,45,284..289,again
trial_lie_042.txt.ptree,3,47,289..290,COMMA
trial_lie_042.txt.ptree,3,51,291..301,escalating
trial_lie_042.txt.ptree,3,53,301..302,.
