trial_truth_038.txt.ptree,0,6,0..4,Next
trial_truth_038.txt.ptree,0,8,5..10,thing
trial_truth_038.txt.ptree,0,13,11..12,I
trial_truth_038.txt.ptree,0,16,13..21,remember
trial_truth_038.txt.ptree,0,19,22..24,is
trial_truth_038.txt.ptree,0,21,24..25,COMMA
trial_truth_038.txt.ptree,0,28,26..28,uh
trial_truth_038.txt.ptree,0,30,28..29,COMMA
trial_truth_038.txt.ptree,0,33,30..34,both
trial_truth_038.txt.ptree,0,36,35..37,of
trial_truth_038.txt.ptree,0,40,38..42,them
trial_truth_038.txt.ptree,0,44,43..49,coming
trial_truth_038.txt.ptree,0,47,50..54,into
trial_truth_038.txt.ptree,0,51,55..58,the
trial_truth_038.txt.ptree,0,53,59..64,house
trial_truth_038.txt.ptree,0,55,64..65,COMMA
trial_truth_038.txt.ptree,0,58,66..68,um
trial_truth_038.txt.ptree,0,60,68..69,COMMA
trial_truth_038.txt.ptree,0,63,70..77,pulling
trial_truth_038.txt.ptree,0,67,78..81,the
trial_truth_038.txt.ptree,0,69,82..86,guns
trial_truth_038.txt.ptree,0,72,87..90,out
trial_truth_038.txt.ptree,0,74,91..93,of
trial_truth_038.txt.ptree,0,77,94..99,their
trial_truth_038.txt.ptree,0,79,100..109,waistband
trial_truth_038.txt.ptree,0,81,109..110,COMMA
trial_truth_038.txt.ptree,0,83,111..114,and
trial_truth_038.txt.ptree,0,86,115..122,telling
trial_truth_038.txt.ptree,0,90,123..126,all
trial_truth_038.txt.ptree,0,93,127..129,of
trial_truth_038.txt.ptree,0,96,130..132,us
trial_truth_038.txt.ptree,0,99,133..135,to
trial_truth_038.txt.ptree,0,102,136..139,get
trial_truth_038.txt.ptree,0,105,140..142,on
trial_truth_038.txt.ptree,0,108,143..149,Effing
trial_truth_038.txt.ptree,0,110,150..155,floor
trial_truth_038.txt.ptree,0,112,155..156,.
trial_truth_038.txt.ptree,1,6,157..159,Uh
trial_truth_038.txt.ptree,1,8,159..160,COMMA
trial_truth_038.txt.ptree,1,11,161..165,Just
trial_truth_038.txt.ptree,1,13,166..169,two
trial_truth_038.txt.ptree,1,15,169..170,:
trial_truth_038.txt.ptree,1,18,172..177,Nolan
trial_truth_038.txt.ptree,1,20,178..181,and
