trial_lie_049.txt.ptree,0,5,0..4,With
trial_lie_049.txt.ptree,0,9,5..8,the
trial_lie_049.txt.ptree,0,11,9..13,word
trial_lie_049.txt.ptree,0,13,14..15,'
trial_lie_049.txt.ptree,0,15,15..18,you
trial_lie_049.txt.ptree,0,17,18..19,'
trial_lie_049.txt.ptree,0,20,20..22,in
trial_lie_049.txt.ptree,0,24,23..28,front
trial_lie_049.txt.ptree,0,27,29..31,of
trial_lie_049.txt.ptree,0,30,32..34,it
trial_lie_049.txt.ptree,0,32,34..35,.
trial_lie_049.txt.ptree,1,5,36..38,So
trial_lie_049.txt.ptree,1,8,39..40,I
trial_lie_049.txt.ptree,1,11,41..46,would
trial_lie_049.txt.ptree,1,14,47..53,assume
trial_lie_049.txt.ptree,1,17,54..58,that
trial_lie_049.txt.ptree,1,20,59..60,'
trial_lie_049.txt.ptree,1,23,60..63,you
trial_lie_049.txt.ptree,1,25,63..64,'
trial_lie_049.txt.ptree,1,28,65..70,would
trial_lie_049.txt.ptree,1,31,71..73,be
trial_lie_049.txt.ptree,1,37,77..79,If
trial_lie_049.txt.ptree,1,41,80..81,I
trial_lie_049.txt.ptree,1,44,82..86,said
trial_lie_049.txt.ptree,1,47,87..90,you
trial_lie_049.txt.ptree,1,49,90..91,COMMA
trial_lie_049.txt.ptree,1,52,92..95,you
trial_lie_049.txt.ptree,1,55,96..101,would
trial_lie_049.txt.ptree,1,58,102..105,say
trial_lie_049.txt.ptree,1,60,105..106,-
trial_lie_049.txt.ptree,1,64,107..110,you
trial_lie_049.txt.ptree,1,67,111..116,would
trial_lie_049.txt.ptree,1,70,117..123,assume
trial_lie_049.txt.ptree,1,75,124..126,it
trial_lie_049.txt.ptree,1,78,126..128,'s
trial_lie_049.txt.ptree,1,81,129..132,you
trial_lie_049.txt.ptree,1,83,132..133,.
